CONTAINER ID   IMAGE                                                   COMMAND                  CREATED         STATUS         PORTS                                                                                          NAMES
b884da5bfdf0   nginx:1.25                                              "/docker-entrypoint.…"   3 minutes ago   Up 3 minutes   0.0.0.0:80->80/tcp, [::]:80->80/tcp                                                            nginx-demo
0e311480c4df   dpage/pgadmin4                                          "/entrypoint.sh"         3 minutes ago   Up 3 minutes   0.0.0.0:5050->80/tcp, [::]:5050->80/tcp                                                        pgadmin-demo
abd6fa9f95cc   docker-order-service                                    "docker-entrypoint.s…"   3 minutes ago   Up 2 minutes   3001/tcp                                                                                       order-service-demo
2fa0eca255b3   docker-indexer-service                                  "docker-entrypoint.s…"   3 minutes ago   Up 2 minutes                                                                                                  indexer-service-demo
9f0a6fae0387   docker.elastic.co/kibana/kibana:7.17.10                 "/bin/tini -- /usr/l…"   3 minutes ago   Up 3 minutes   0.0.0.0:5601->5601/tcp, [::]:5601->5601/tcp                                                    kibana-demo
baec692ede6a   docker-search-service                                   "docker-entrypoint.s…"   3 minutes ago   Up 3 minutes   3000/tcp                                                                                       search-service-demo
31833eb10f47   postgres:15-alpine                                      "docker-entrypoint.s…"   3 minutes ago   Up 3 minutes   0.0.0.0:5432->5432/tcp, [::]:5432->5432/tcp                                                    postgres-demo
7a30c5356cb2   docker-web-frontend                                     "/docker-entrypoint.…"   3 minutes ago   Up 3 minutes   0.0.0.0:3000->3000/tcp, [::]:3000->3000/tcp                                                    web-frontend-demo
503d5592b0ac   rabbitmq:3.12-management                                "docker-entrypoint.s…"   3 minutes ago   Up 3 minutes   0.0.0.0:5672->5672/tcp, [::]:5672->5672/tcp, 0.0.0.0:15672->15672/tcp, [::]:15672->15672/tcp   rabbitmq-demo
42c05e53b369   redis:7-alpine                                          "docker-entrypoint.s…"   3 minutes ago   Up 3 minutes   0.0.0.0:6379->6379/tcp, [::]:6379->6379/tcp                                                    redis-demo
43fce1746192   docker.elastic.co/elasticsearch/elasticsearch:7.17.10   "/bin/tini -- /usr/l…"   3 minutes ago   Up 3 minutes   0.0.0.0:9200->9200/tcp, [::]:9200->9200/tcp                                                    es-demo
